categories_str,sources_str,cosine_centroid,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
bird,wn_hypernym,0.1810900912,-,True,-,layer,layer,48614,True,True,2,0,6,0.09523809523809523,0.25462870462870457,homonyms_only_different_pos,met,abs-conc,,,,lay_eggs,layer
bird,wn_hypernym,0.1603338271,-,True,-,cochin,cochin,4591,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,cochin
bird,wn_hypernym,0.1787921179,-,True,-,moorcock,moorcock,700,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,moorcock
bird,wn_hypernym,0.183320729,-,True,-,merl,merl,347,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,merl
mammal,wn_hypernym,0.150053637,-,True,-,queen,queen,170402,True,True,6,0,12,0.17391304347826086,0.47182550621223307,homonyms_only_different_pos,non-met,abs-conc,537,527,247,lay_eggs,queen
bird,wn_hypernym,0.1844640858,-,True,-,drake,drake,19132,True,True,1,0,2,0.48,0.48,mon,,conc-n,,,,lay_eggs,drake
bird,wn_hypernym,0.1934439021,-,True,-,nandu,nandu,446,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,nandu
bird,wn_hypernym,0.1529796277,-,True,-,solan,solan,369,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,solan
mammal bird,wn_hypernym,0.1902669064,-,True,-,tom,tom,137530,True,True,1,0,3,0.5217391304347826,0.5987250735534487,,non-met,conc,,,,lay_eggs,tom
bird,wn_hypernym,0.1800130438,-,True,-,jaeger,jaeger,1590,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,jaeger
mammal bird,wn_hypernym,0.1752602214,-,True,-,cob,cob,1485,True,True,2,0,4,0.26666666666666666,0.45904937973903487,poly,,conc,,,,lay_eggs,cob
bird,wn_hypernym,0.1932995874,-,True,-,brent,brent,11653,True,True,0,0,1,1.0,1.0,,non-met,conc,,,,lay_eggs,brent
bird,wn_hypernym,0.1839727599,-,True,-,tumbler,tumbler,821,True,True,3,0,4,0.3333333333333333,0.42533096792081854,poly,,conc,,,,lay_eggs,tumbler
bird,wn_hypernym,0.1981335315,-,True,-,mavis,mavis,1876,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,mavis
bird,wn_hypernym,0.222669635,-,True,-,capon,capon,567,True,True,1,0,2,0.16666666666666666,0.16666666666666666,mon,,conc,,,,lay_eggs,capon
bird,wn_hypernym,0.1962988948,-,True,-,gander,gander,1150,True,True,0,0,1,1.0,1.0,poly,,conc,,,,lay_eggs,gander
bird,wn_hypernym,0.2058174531,-,True,-,mamo,mamo,372,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,mamo
bird,wn_hypernym,0.2056108153,-,True,-,redbird,redbird,366,True,True,0,0,2,0.8571428571428571,0.8571428571428571,,,conc,,,,lay_eggs,redbird
bird,wn_hypernym,0.199667084,-,True,-,sitter,sitter,1896,True,True,2,0,5,0.46153846153846156,0.5566433566433566,poly,met,conc-n,,,,lay_eggs,sitter
bird,wn_hypernym,0.2286169439,-,True,-,sheldrake,sheldrake,468,True,True,0,0,2,0.9032258064516129,0.9032258064516129,,,conc,,,,lay_eggs,sheldrake
bird,wn_hypernym,0.2308043486,-,True,-,snowflake,snowflake,1021,True,True,2,0,2,0.19047619047619047,0.19047619047619047,mon,,conc,,,,lay_eggs,snowflake
bird,wn_hypernym,0.2104620278,-,True,-,erne,erne,786,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,erne
bird,wn_hypernym,0.192047406,-,True,-,snowbird,snowbird,462,True,True,2,0,3,0.8275862068965517,0.8604269293924466,,,conc,,,,lay_eggs,snowbird
bird,wn_hypernym,0.197151439,-,True,-,turkey,turkey,83776,True,True,2,0,5,0.09523809523809523,0.22457056867542796,poly,met non-met,abs-conc-n,,,,lay_eggs,turkey
fish,wn_hypernym,0.2693723061,-,True,-,roach,roach,6497,True,True,3,0,7,0.15384615384615385,0.2832025170699733,homonyms_also_same_pos,,conc,,,,lay_eggs,roach
bird,wn_hypernym,0.205797677,-,True,-,merle,merle,3716,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,merle
bird,wn_hypernym,0.2096487791,-,True,-,rail,rail,125182,True,True,7,7,15,0.08333333333333333,0.2361229679411496,homonyms_also_same_pos,non-met,abs-conc,540,505,,lay_eggs,rail
bird,wn_hypernym,0.2333555206,-,True,-,baya,baya,332,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,baya
bird,wn_hypernym,0.2529012173,-,True,-,biddy,biddy,387,True,True,1,0,2,0.9285714285714286,0.9285714285714286,,,conc,,,,lay_eggs,biddy
bird,wn_hypernym,0.2261293339,-,True,-,marabout,marabout,259,True,True,0,0,1,1.0,1.0,,,conc,,,,lay_eggs,marabout
bird,wn_hypernym,0.2190691723,-,True,-,firebird,firebird,1550,True,True,0,0,3,0.7586206896551724,0.7906403940886699,,,conc,,,,lay_eggs,firebird
bird,wn_hypernym,0.2439777123,-,True,-,peewee,peewee,331,True,True,2,0,2,0.5217391304347826,0.5217391304347826,,,conc,,,,lay_eggs,peewee
bird,wn_hypernym,0.2278817478,-,True,-,roller,roller,21464,True,True,5,0,7,0.08333333333333333,0.24074601115361582,poly,met,abs-conc,,,,lay_eggs,roller
bird,wn_hypernym,0.20996656,-,True,-,chat,chat,11306,True,True,3,4,4,0.09090909090909091,0.33791113101457926,homonyms_only_different_pos,,abs-conc,,,,lay_eggs,chat
