categories_str,sources_str,cosine_centroid,selection ,manual_coarse_grained,space_selection,qumcrae_label,word,lemma,wiki_frequency,word_in_wn?,word_noun_in_wn?,n_navigli_clusters,n_onto_senses_n_v,n_wn_senses,min_wn_sim_wup,av_sim_wup,polysemy_type,mipvu,wn_abs_conc,conc,fam,aoa,property,concept
is_found_in_seas,cslb_crowd_neg,0.406991896,,-,False,-,bird,bird,78400,True,True,3,0,6,0.11764705882352941,0.26011204481792716,homonyms_only_different_pos,non-met,abs-conc,602,592,206,found_in_seas,bird
neighbors-200,wikipedia_sgns_model,0.5523336946,,-,False,-,echinolittorina,echinolittorina,124,False,False,0,0,0,None,,,,-,,,,found_in_seas,echinolittorina
neighbors-200,wikipedia_sgns_model,0.5407982778,,-,False,-,auritus,auritus,113,False,False,0,0,0,None,,,,-,,,,found_in_seas,auritus
neighbors-200,wikipedia_sgns_model,0.5679036234,,-,False,-,littoraria,littoraria,102,False,False,0,0,0,None,,,,-,,,,found_in_seas,littoraria
neighbors-200,wikipedia_sgns_model,0.5335852357,,-,False,-,anthiinae,anthiinae,117,False,False,0,0,0,None,,,,-,,,,found_in_seas,anthiinae
neighbors-200,wikipedia_sgns_model,0.5824882856,,-,False,-,astroblepus,astroblepus,119,False,False,0,0,0,None,,,,-,,,,found_in_seas,astroblepus
neighbors-200,wikipedia_sgns_model,0.546729057,,-,False,-,latirus,latirus,143,False,False,0,0,0,None,,,,-,,,,found_in_seas,latirus
pos pos,manually_included manually_included,0.2843364148,,-,False,-,bass,bass,103359,True,True,4,0,9,0.08333333333333333,0.2133037392518577,homonyms_only_different_pos,non-met,abs-conc,547,540,,found_in_seas,bass
neg neg,manually_included manually_included,0.1234240193,3,-,False,-,violin,violin,29202,True,True,0,0,1,1.0,1.0,poly,non-met,conc,626,468,,found_in_seas,violin
is_found_in_seas,cslb_crowd_neg,0.0472932296,3,-,False,-,ring,ring,116797,True,True,9,16,15,0.125,0.2695056001284375,homonyms_also_same_pos,met non-met,abs-conc,593,589,208,found_in_seas,ring
pos pos,manually_included manually_included,0.3309124586,,-,False,-,sand,sand,51782,True,True,2,0,4,0.125,0.20462962962962963,homonyms_only_different_pos,non-met,abs-n,616,519,217,found_in_seas,sand
neg neg,manually_included manually_included,0.4155820222,,-,False,-,crocodile,crocodile,6355,True,True,0,0,1,1.0,1.0,poly,,conc,583,456,,found_in_seas,crocodile
neighbors-200,wikipedia_sgns_model,0.5760315019,,-,False,-,whales,whale,11611,True,True,1,0,3,0.5217391304347826,0.5217391304347826,poly,,conc,,,,found_in_seas,whale
pos,manually_included,0.5841015252,,-,False,-,whale,whale,15420,True,True,1,0,3,0.5217391304347826,0.5217391304347826,poly,,conc,610,500,,found_in_seas,whale
neg neg,manually_included manually_included,0.3681472739,,-,False,-,tortoise,tortoise,3936,True,True,0,0,1,1.0,1.0,mon,non-met,conc,602,415,,found_in_seas,tortoise
pos pos,manually_included manually_included,0.4910566604,,-,False,-,turtle,turtle,14449,True,True,0,0,4,0.2,0.27391304347826084,poly,,conc,644,509,,found_in_seas,turtle
neighbors-200,wikipedia_sgns_model,0.5398713385,,-,False,-,mussel,mussel,2046,True,True,1,0,2,0.21052631578947367,0.21052631578947367,mon,non-met,conc,618,396,414,found_in_seas,mussel
is_found_in_seas,cslb_crowd_pos,0.5904367692,,-,False,-,mussels,mussel,2483,True,True,1,0,2,0.21052631578947367,0.21052631578947367,mon,non-met,conc,,,,found_in_seas,mussel
is_found_in_seas,cslb_crowd_neg,0.3420459137,,-,False,-,squirrel,squirrel,7491,True,True,1,0,2,0.17391304347826086,0.17391304347826086,mon,non-met,abs-conc,612,511,,found_in_seas,squirrel
neighbors-200,wikipedia_sgns_model,0.5867960006,,-,False,-,lobster,lobster,3817,True,True,1,0,2,0.2,0.2,poly,,conc,590,472,,found_in_seas,lobster
neighbors-200,wikipedia_sgns_model,0.551738838,,-,False,-,shrimps,shrimp,974,True,True,1,0,4,0.21052631578947367,0.3632157316367843,poly,,conc,,,,found_in_seas,shrimp
pos pos,manually_included manually_included,0.6617096818,,-,False,-,shrimp,shrimp,7445,True,True,1,0,4,0.21052631578947367,0.3632157316367843,poly,,conc,629,546,,found_in_seas,shrimp
neighbors-200,wikipedia_sgns_model,0.5494833528,,-,False,-,bathyal,bathyal,103,True,False,0,0,1,1.0,1.0,,,-,,,,found_in_seas,bathyal
neighbors-200,wikipedia_sgns_model,0.5374840387,,-,False,-,scallops,scallop,870,True,True,5,0,9,0.10526315789473684,0.19090161483253587,homonyms_only_different_pos,,abs-conc,,,,found_in_seas,scallop
neighbors-200,wikipedia_sgns_model,0.5323361016,,-,False,-,oysters,oyster,2825,True,True,2,0,4,0.1111111111111111,0.1516569200779727,poly,non-met,abs-conc,,,,found_in_seas,oyster
neighbors-200,wikipedia_sgns_model,0.6156931795,,-,False,-,shark,shark,17480,True,True,2,0,5,0.13333333333333333,0.44666285278413426,homonyms_also_same_pos,,conc,611,516,,found_in_seas,shark
neighbors-200,wikipedia_sgns_model,0.5479876085,,-,False,-,catshark,catshark,885,False,False,0,0,0,None,,,,-,,,,found_in_seas,catshark
neighbors-200,wikipedia_sgns_model,0.5957283133,,-,False,-,catsharks,catshark,134,False,False,0,0,0,None,,,,-,,,,found_in_seas,catshark
neighbors-200,wikipedia_sgns_model,0.5492831993,,-,False,-,fished,fish,2180,True,True,3,3,6,0.23529411764705882,0.3643009283212733,homonyms_only_different_pos,non-met,conc-n,,,,found_in_seas,fish
neighbors-200,wikipedia_sgns_model,0.6490771853,,-,False,-,fishes,fish,7370,True,True,3,3,6,0.23529411764705882,0.3643009283212733,homonyms_only_different_pos,non-met,conc-n,,,,found_in_seas,fish
is_found_in_seas,cslb_crowd_pos,0.7455049838,,-,False,-,fish,fish,132246,True,True,3,3,6,0.23529411764705882,0.3643009283212733,homonyms_only_different_pos,non-met,conc-n,597,548,,found_in_seas,fish
neighbors-200,wikipedia_sgns_model,0.6149395368,,-,False,-,filefish,filefish,151,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,filefish
neighbors-200,wikipedia_sgns_model,0.592697057,,-,False,-,scorpionfish,scorpionfish,174,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,scorpionfish
neighbors-200,wikipedia_sgns_model,0.5519802648,,-,False,-,pipefish,pipefish,493,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,pipefish
neighbors-200,wikipedia_sgns_model,0.5856566958,,-,False,-,pipefishes,pipefish,109,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,pipefish
neighbors-200,wikipedia_sgns_model,0.6001722666,,-,False,-,snailfish,snailfish,100,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,snailfish
neighbors-200,wikipedia_sgns_model,0.5388533008,,-,False,-,acanthurus,acanthurus,112,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,acanthurus
neighbors-200,wikipedia_sgns_model,0.5997064632,,-,False,-,xanthidae,xanthidae,137,False,False,0,0,0,None,,,,-,,,,found_in_seas,xanthidae
neighbors-200,wikipedia_sgns_model,0.5770697194,,-,False,-,sinocyclocheilus,sinocyclocheilus,166,False,False,0,0,0,None,,,,-,,,,found_in_seas,sinocyclocheilus
neighbors-200,wikipedia_sgns_model,0.6148494815,,-,False,-,lanternfish,lanternfish,119,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,lanternfish
neighbors-200,wikipedia_sgns_model,0.5425426617,,-,False,-,propebela,propebela,109,False,False,0,0,0,None,,,,-,,,,found_in_seas,propebela
neighbors-200,wikipedia_sgns_model,0.5394596251,,-,False,-,gorgonians,gorgonian,107,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,gorgonian
neighbors-200,wikipedia_sgns_model,0.5847316606,,-,False,-,bluespotted,bluespott,107,False,False,0,0,0,None,,,,-,,,,found_in_seas,bluespott
neighbors-200,wikipedia_sgns_model,0.5353712172,,-,False,-,trapania,trapania,149,False,False,0,0,0,None,,,,-,,,,found_in_seas,trapania
neighbors-200,wikipedia_sgns_model,0.6074052286,,-,False,-,pleuronectidae,pleuronectidae,103,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,pleuronectidae
is_found_in_seas,cslb_crowd_neg,0.296069541,,-,False,-,rabbit,rabbit,15865,True,True,1,0,4,0.16666666666666666,0.2272727272727273,homonyms_only_different_pos,non-met,abs-conc,635,523,206,found_in_seas,rabbit
neighbors-200,wikipedia_sgns_model,0.533325283,,-,False,-,jellyfish,jellyfish,2630,True,True,1,0,2,0.8181818181818182,0.8181818181818182,mon,,conc,,,,found_in_seas,jellyfish
is_found_in_seas,cslb_crowd_neg,0.2579485813,,-,False,-,cougar,cougar,3746,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,cougar
is_found_in_seas,cslb_crowd_neg,0.2486903576,,-,False,-,coyote,coyote,5573,True,True,2,0,3,0.42857142857142855,0.451005291005291,mon,,conc,,,,found_in_seas,coyote
is_found_in_seas,cslb_crowd_neg,0.3227485097,,-,False,-,grizzly,grizzly,3564,True,True,0,0,2,None,,,,conc,,,,found_in_seas,grizzly
neighbors-200,wikipedia_sgns_model,0.53508197,,-,False,-,goniodorididae,goniodorididae,121,False,False,0,0,0,None,,,,-,,,,found_in_seas,goniodorididae
is_found_in_seas,cslb_crowd_neg,0.1028801853,3,-,False,-,satchel,satchel,819,True,True,0,0,1,1.0,1.0,mon,,conc,593,364,297,found_in_seas,satchel
pos pos,manually_included manually_included,0.1888275108,2,-,False,-,treasure,treasure,23674,True,True,2,0,6,0.125,0.28257020757020757,homonyms_only_different_pos,non-met,abs-conc,,,,found_in_seas,treasure
is_found_in_seas,cslb_crowd_neg,0.2047157693,,-,False,-,trapper,trapper,2115,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,trapper
is_found_in_seas,cslb_crowd_neg,0.2316733815,,-,False,-,lynx,lynx,6514,True,True,1,0,2,0.07142857142857142,0.07142857142857142,mon,,conc-n,568,301,511,found_in_seas,lynx
is_found_in_seas,cslb_crowd_neg,0.2363369163,,-,False,-,bobcat,bobcat,1596,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,bobcat
is_found_in_seas,cslb_crowd_neg,0.2570307553,,-,False,-,marmot,marmot,659,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,marmot
is_found_in_seas,cslb_crowd_neg,0.2671046085,,-,False,-,beaver,beaver,16164,True,True,3,0,8,0.17391304347826086,0.3706066574747227,poly,,abs-conc,589,470,,found_in_seas,beaver
is_found_in_seas,cslb_crowd_pos,0.291998398,,-,False,-,caplin,caplin,306,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,caplin
is_found_in_seas,cslb_crowd_neg,0.3050531607,,-,False,-,stoat,stoat,353,True,True,0,0,1,1.0,1.0,mon,,conc,621,352,417,found_in_seas,stoat
is_found_in_seas,cslb_crowd_neg,0.3202796414,,-,False,-,vole,vole,1549,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,vole
is_found_in_seas,cslb_crowd_neg,0.3258526911,,-,False,-,muskrat,muskrat,762,True,True,1,0,2,0.17391304347826086,0.17391304347826086,poly,,abs-conc,,,,found_in_seas,muskrat
is_found_in_seas,cslb_crowd_neg,0.3277376033,,-,False,-,elk,elk,9182,True,True,0,0,3,0.9375,0.9375,poly,,conc,,,,found_in_seas,elk
is_found_in_seas,cslb_crowd_neg,0.3417222754,,-,False,-,rodent,rodent,4434,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,rodent
is_found_in_seas,cslb_crowd_pos,0.3824195435,,-,False,-,haddock,haddock,1663,True,True,1,0,2,0.17391304347826086,0.17391304347826086,mon,,conc,636,475,389,found_in_seas,haddock
is_found_in_seas,cslb_crowd_pos,0.3845977355,,-,False,-,manatee,manatee,1650,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,manatee
is_found_in_seas,cslb_crowd_pos,0.4140876935,,-,False,-,codfish,codfish,270,True,True,1,0,2,0.16666666666666666,0.16666666666666666,,,conc,,,,found_in_seas,codfish
is_found_in_seas,cslb_crowd_neg,0.4332711229,,-,False,-,barbel,barbel,591,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,barbel
is_found_in_seas is_found_in_seas is_found_in_seas is_found_in_seas,cslb_crowd_neg manually_included manually_included,0.4457152692,,-,False,-,carp,carp,4823,True,True,1,0,3,0.16,0.16,homonyms_only_different_pos,,conc,613,439,,found_in_seas,carp
is_found_in_seas,cslb_crowd_pos,0.4519848374,,-,False,-,swordfish,swordfish,1735,True,True,1,0,2,0.16,0.16,mon,,conc,,,,found_in_seas,swordfish
is_found_in_seas,cslb_crowd_pos,0.4804167429,,-,False,-,porpoise,porpoise,1024,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,porpoise
is_found_in_seas,cslb_crowd_neg,0.485928631,,-,False,-,chub,chub,1423,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,chub
is_found_in_seas,cslb_crowd_pos,0.4880329499,,-,False,-,seafood,seafood,6162,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,seafood
is_found_in_seas,cslb_crowd_pos,0.4926541029,,-,False,-,sturgeon,sturgeon,4192,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,sturgeon
is_found_in_seas,cslb_crowd_pos,0.4974300735,,-,False,-,gurnard,gurnard,200,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,gurnard
is_found_in_seas,cslb_crowd_neg,0.4988768226,,-,False,-,walleye,walleye,1421,True,True,0,0,2,0.07407407407407407,0.07407407407407407,,,abs-conc,,,,found_in_seas,walleye
is_found_in_seas,cslb_crowd_neg,0.5039910823,,-,False,-,bluegill,bluegill,899,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,bluegill
is_found_in_seas,cslb_crowd_pos,0.5063636403,,-,False,-,cuttlefish,cuttlefish,830,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,cuttlefish
is_found_in_seas,cslb_crowd_pos,0.5172728013,,-,False,-,pilchard,pilchard,205,True,True,1,0,2,0.16666666666666666,0.16666666666666666,mon,,conc,,,,found_in_seas,pilchard
neighbors-200,wikipedia_sgns_model,0.5553625901,,-,False,-,pilchards,pilchard,140,True,True,1,0,2,0.16666666666666666,0.16666666666666666,mon,,conc,,,,found_in_seas,pilchard
is_found_in_seas,cslb_crowd_pos,0.529381988,,-,False,-,abalone,abalone,957,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,abalone
neighbors-200,wikipedia_sgns_model,0.5516926731,,-,False,-,abalones,abalone,139,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,abalone
neighbors-200,wikipedia_sgns_model,0.5295736734,,-,False,-,pinniped,pinniped,101,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,pinniped
neighbors-200,wikipedia_sgns_model,0.5296113776,,-,False,-,goby,goby,1426,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,goby
neighbors-200,wikipedia_sgns_model,0.5297303941,,-,False,-,trawls,trawls,395,True,True,0,0,3,0.5,0.5,,,conc,,,,found_in_seas,trawls
neighbors-200,wikipedia_sgns_model,0.5297331892,,-,False,-,topminnow,topminnow,135,True,True,1,0,2,0.9090909090909091,0.9090909090909091,,,conc,,,,found_in_seas,topminnow
neighbors-200,wikipedia_sgns_model,0.5302730839,,-,False,-,poropuntius,poropuntius,121,False,False,0,0,0,None,,,,-,,,,found_in_seas,poropuntius
neighbors-200,wikipedia_sgns_model,0.5303610141,,-,False,-,mysis,mysis,113,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,mysis
neighbors-200,wikipedia_sgns_model,0.5305484153,,-,False,-,ocellatus,ocellatus,228,False,False,0,0,0,None,,,,-,,,,found_in_seas,ocellatus
neighbors-200,wikipedia_sgns_model,0.53064306,,-,False,-,squirrelfish,squirrelfish,105,True,True,1,0,2,0.875,0.875,,,conc,,,,found_in_seas,squirrelfish
neighbors-200,wikipedia_sgns_model,0.5309262424,,-,False,-,fisheries,fishery,16317,True,True,0,0,1,1.0,1.0,mon,non-met,conc,,,,found_in_seas,fishery
neighbors-200,wikipedia_sgns_model,0.5845943323,,-,False,-,fishery,fishery,7250,True,True,0,0,1,1.0,1.0,mon,non-met,conc,,,,found_in_seas,fishery
is_found_in_seas,cslb_crowd_pos,0.5310892443,,-,False,-,humpback,humpback,1408,True,True,3,0,3,0.08,0.23111111111111113,mon,,abs-conc,,,,found_in_seas,humpback
neighbors-200,wikipedia_sgns_model,0.5311710915,,-,False,-,suckermouth,suckermouth,116,False,False,0,0,0,None,,,,-,,,,found_in_seas,suckermouth
neighbors-200,wikipedia_sgns_model,0.5321626347,,-,False,-,mykiss,mykis,313,False,False,0,0,0,None,,,,-,,,,found_in_seas,mykis
neighbors-200,wikipedia_sgns_model,0.5323725224,,-,False,-,clams,clam,2317,True,True,2,0,4,0.09523809523809523,0.13895850737956,homonyms_only_different_pos,,abs-conc,,,,found_in_seas,clam
is_found_in_seas,cslb_crowd_pos,0.5323829231,,-,False,-,longline,longline,287,False,False,0,0,0,None,,,,-,,,,found_in_seas,longline
neighbors-200,wikipedia_sgns_model,0.5661151629,,-,False,-,longlines,longline,150,False,False,0,0,0,None,,,,-,,,,found_in_seas,longline
neighbors-200,wikipedia_sgns_model,0.5324692535,,-,False,-,wrasse,wrasse,854,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,wrasse
neighbors-200,wikipedia_sgns_model,0.5329097701,,-,False,-,anadromous,anadromous,606,True,False,0,0,1,1.0,1.0,,,-,,,,found_in_seas,anadromous
is_found_in_seas,cslb_crowd_pos,0.5332711215,,-,False,-,bream,bream,1505,True,True,1,0,5,0.16,0.3854040404040404,poly,,conc,,,,found_in_seas,bream
neighbors-200,wikipedia_sgns_model,0.5333715774,,-,False,-,tursiops,tursiop,101,False,False,0,0,0,None,,,,-,,,,found_in_seas,tursiop
neighbors-200,wikipedia_sgns_model,0.5337837919,,-,False,-,flounder,flounder,1183,True,True,2,0,4,0.16,0.19111111111111112,homonyms_only_different_pos,,conc,,,,found_in_seas,flounder
neighbors-200,wikipedia_sgns_model,0.5339678325,,-,False,-,haliotis,haliotis,258,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,haliotis
neighbors-200,wikipedia_sgns_model,0.5347737572,,-,False,-,tilapia,tilapia,1011,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,tilapia
neighbors-200,wikipedia_sgns_model,0.5352510971,,-,False,-,unionidae,unionidae,286,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,unionidae
neighbors-200,wikipedia_sgns_model,0.5353362096,,-,False,-,perch,perch,5129,True,True,5,3,10,0.08695652173913043,0.2435400808874274,homonyms_only_different_pos,met,abs-conc,576,396,414,found_in_seas,perch
neighbors-200,wikipedia_sgns_model,0.5361125883,,-,False,-,scyliorhinidae,scyliorhinidae,164,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,scyliorhinidae
neighbors-200,wikipedia_sgns_model,0.5364534096,,-,False,-,zooplankton,zooplankton,1348,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,zooplankton
neighbors-200,wikipedia_sgns_model,0.5364597886,,-,False,-,oreochromis,oreochromis,177,False,False,0,0,0,None,,,,-,,,,found_in_seas,oreochromis
is_found_in_seas,cslb_crowd_pos,0.5373204083,,-,False,-,kelp,kelp,1821,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,kelp
neighbors-200,wikipedia_sgns_model,0.5380144501,,-,False,-,fundulus,fundulus,118,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,fundulus
neighbors-200,wikipedia_sgns_model,0.5389584169,,-,False,-,mydas,mydas,162,False,False,0,0,0,None,,,,-,,,,found_in_seas,mydas
neighbors-200,wikipedia_sgns_model,0.5389803637,,-,False,-,blacktip,blacktip,307,False,False,0,0,0,None,,,,-,,,,found_in_seas,blacktip
neighbors-200,wikipedia_sgns_model,0.5391519414,,-,False,-,gillnets,gillnet,233,False,False,0,0,0,None,,,,-,,,,found_in_seas,gillnet
neighbors-200,wikipedia_sgns_model,0.5401246047,,-,False,-,characin,characin,125,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,characin
neighbors-200,wikipedia_sgns_model,0.5727986886,,-,False,-,characins,characin,157,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,characin
neighbors-200,wikipedia_sgns_model,0.540863903,,-,False,-,killifish,killifish,416,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,killifish
neighbors-200,wikipedia_sgns_model,0.5409203003,,-,False,-,babelomurex,babelomurex,112,False,False,0,0,0,None,,,,-,,,,found_in_seas,babelomurex
neighbors-200,wikipedia_sgns_model,0.5411856235,,-,False,-,toothfish,toothfish,224,False,False,0,0,0,None,,,,-,,,,found_in_seas,toothfish
neighbors-200,wikipedia_sgns_model,0.5425788645,,-,False,-,schizothorax,schizothorax,200,False,False,0,0,0,None,,,,-,,,,found_in_seas,schizothorax
neighbors-200,wikipedia_sgns_model,0.5429890125,,-,False,-,lanternshark,lanternshark,146,False,False,0,0,0,None,,,,-,,,,found_in_seas,lanternshark
neighbors-200,wikipedia_sgns_model,0.5430929301,,-,False,-,silverside,silverside,230,True,True,0,0,1,1.0,1.0,mon,,conc,,,,found_in_seas,silverside
neighbors-200,wikipedia_sgns_model,0.5436644009,,-,False,-,barramundi,barramundi,207,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,barramundi
neighbors-200,wikipedia_sgns_model,0.5437875499,,-,False,-,gulper,gulper,157,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,gulper
is_found_in_seas,cslb_crowd_pos,0.5439112667,,-,False,-,sculpin,sculpin,689,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,sculpin
neighbors-200,wikipedia_sgns_model,0.5898362752,,-,False,-,sculpins,sculpin,192,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,sculpin
is_found_in_seas,cslb_crowd_pos,0.544007868,,-,False,-,rockfish,rockfish,681,True,True,1,0,3,0.16,0.3806060606060606,,,conc,,,,found_in_seas,rockfish
neighbors-200,wikipedia_sgns_model,0.5446885638,,-,False,-,salvelinus,salvelinus,233,True,True,0,0,1,1.0,1.0,,,abs,,,,found_in_seas,salvelinus
is_found_in_seas,cslb_crowd_pos,0.5448045344,,-,False,-,anchovy,anchovy,471,True,True,1,0,2,0.18181818181818182,0.18181818181818182,mon,,conc,,,,found_in_seas,anchovy
neighbors-200,wikipedia_sgns_model,0.5448210738,,-,False,-,saury,saury,132,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,saury
neighbors-200,wikipedia_sgns_model,0.5448420724,,-,False,-,longnose,longnose,390,False,False,0,0,0,None,,,,-,,,,found_in_seas,longnose
neighbors-200,wikipedia_sgns_model,0.5452051185,,-,False,-,warmwater,warmwater,140,False,False,0,0,0,None,,,,-,,,,found_in_seas,warmwater
neighbors-200,wikipedia_sgns_model,0.54537497,,-,False,-,vendace,vendace,102,False,False,0,0,0,None,,,,-,,,,found_in_seas,vendace
is_found_in_seas,cslb_crowd_pos,0.5458859861,,-,False,-,crustacean,crustacean,1104,True,True,0,0,2,None,,mon,,conc,,,,found_in_seas,crustacean
is_found_in_seas,cslb_crowd_pos,0.6075096027,,-,False,-,crustaceans,crustacean,4599,True,True,0,0,2,None,,mon,,conc,,,,found_in_seas,crustacean
is_found_in_seas,cslb_crowd_pos,0.5461471016,,-,False,-,grouper,grouper,857,True,True,1,0,2,0.18181818181818182,0.18181818181818182,,,conc,,,,found_in_seas,grouper
neighbors-200,wikipedia_sgns_model,0.5463358614,,-,False,-,capelin,capelin,220,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,capelin
neighbors-200,wikipedia_sgns_model,0.5464113375,,-,False,-,tuna,tuna,5163,True,True,2,0,4,0.16666666666666666,0.37559884559884554,poly,,conc,,,,found_in_seas,tuna
neighbors-200,wikipedia_sgns_model,0.5466869962,,-,False,-,epipelagic,epipelagic,152,False,False,0,0,0,None,,,,-,,,,found_in_seas,epipelagic
neighbors-200,wikipedia_sgns_model,0.5470392204,,-,False,-,mesopelagic,mesopelagic,244,False,False,0,0,0,None,,,,-,,,,found_in_seas,mesopelagic
neighbors-200,wikipedia_sgns_model,0.5473064132,,-,False,-,overfished,overfish,197,False,False,0,0,0,None,,,,-,,,,found_in_seas,overfish
neighbors-200,wikipedia_sgns_model,0.5475415718,,-,False,-,chromis,chromis,166,False,False,0,0,0,None,,,,-,,,,found_in_seas,chromis
neighbors-200,wikipedia_sgns_model,0.547667835,,-,False,-,peristernia,peristernia,105,False,False,0,0,0,None,,,,-,,,,found_in_seas,peristernia
neighbors-200,wikipedia_sgns_model,0.5477446092,,-,False,-,baitfish,baitfish,127,False,False,0,0,0,None,,,,-,,,,found_in_seas,baitfish
neighbors-200,wikipedia_sgns_model,0.5483051562,,-,False,-,milkfish,milkfish,135,False,False,0,0,0,None,,,,-,,,,found_in_seas,milkfish
neighbors-200,wikipedia_sgns_model,0.5483267135,,-,False,-,panfish,panfish,198,True,True,0,0,1,1.0,1.0,,,conc,,,,found_in_seas,panfish
